"NAME","SEGMENT1"
"东田","114FN-32"
"百里荒","114FN-38"
"红心楼","114FN-39"
"平海湾","114FN-42"
"铁列克提一","114FN-29"
"铁列克提二","114FN-30"
"金泉","114FN-33"
"康保一期","114FN-34"
"康保西营盘","114FN-35"
"东岗岭","114FN-31"
"滨州鲁萨","114FN-43"
"镇南","114FN-40"
"南谯","114FN-41"
"吉庆","115FN-01"
"阳江","115FN-02"
"东岗岭1","114FN-31-1"
"茶园","115FN-05"
"四海坪","117FN-03"
"永春外山","116FN-15"
"高家梁","116FN-17"
"徐闻福来","115FN-20"
"贝壳梁","116FN-13"
"西晃山二期","117FN-06"
"闽侯青林","115FN-18"
"沙岭","115FN-21"
"九江江洲","115FN-23"
"文昌增补2台","115FN-22"
"海外","HAIWAI"
"批量生产风机模板","XWP_TEMPLATE_01"
"国产样和批量生产模板","XWP_TEMPLATE_02"
"进口机和批量生产模板","XWP_TEMPLATE_03"
"卓资二期","1FN8102-Z03"
"福建六鳌项目","1FN0710-Z02"
"卓资进口样机","1FN0704-Z01"
"石井二期","1FN2009-002"
"莆田东峤","1FN2009-003"
"乌力吉一期","1FN2009-001"
"福清泽岐","1FN2009-004"
"嘉儒二期","1FN2009-005"
"大唐长乐午山","1FN2010-002"
"南山一期","1FN2010-003"
"达茂旗","111FN-11"
"骆驼沟二期","111FN-13"
"察右中旗一、二期","1FN2010-008"
"兴安盟翰嘎利一期","1FN2010-009"
"天塘山","111FN-09"
"徐闻前山","111FN-10"
"坝头二期","111FN-14"
"河北建投御道口如意河","1FN2010-001"
"风机部件","111FN-BJ-01"
"保加利亚1","111FN-15"
"阿根廷","111FN-16"
"伊朗","111FN-17"
"环县南湫","111FN-18"
"大唐突泉老爷岭","1FN2010-005"
"四川德昌一期","1FN2010-007"
"郴州鲁荷金","1FN2010-011"
"卓资三期","1FN0809-Z08"
"察右中旗一、二期补","1FN2010-008补"
"三十六湾","111FN-19"
"山西神池风场","1FN0711―Z04"
"莒县一期","111FN-02"
"华能吉林四平鑫丰","1FN2009-008"
"连江北茭","111FN-01"
"内蒙古察右后旗红牧","1FN0808-Z04"
"河北丰宁坝头","1FN0809-Z06"
"河北丰宁骆驼沟","1FN0809-Z07"
"福建莆田石井","1FN0810-Z10"
"大唐通辽开鲁街基","1FN2010-006"
"华电甘肃黑崖子","1FN2009-009"
"大唐丰宁万胜永","1FN2009-006"
"海南文昌风电","1FN2009-007"
"赤峰头道沟","1FN2009-010"
"莒县二期","111FN-03"
"道达样机","1FN2010-004"
"青海沙珠玉","1FN2010-12"
"达坂城一期","111FN-04"
"诏安梅岭","111FN-05"
"南山一期补","1FN2010-003补"
"云南富民","1FN2010-010"
"五莲一期","111FN-06"
"五莲二期","111FN-07"
"海阳一期","111FN-08"
"山西岢岚","111FN-12"
"辽宁五龙山","112FN-01"
"中广核民勤","112FN-02"
"大唐武威","112FN-03"
"符离桥","112FN-21"
"海安","112FN-22"
"鲁叶","113FN-14"
"神池三期","113FN-19"
"东山","113FN-15"
"德昌阿月","112FN-07"
"桂阳桥市","112FN-08"
"湘电新能源3","112FN-15"
"老爷岭二期","112FN-14"
"广水武胜关","113FN-03"
"四子王旗二三四期","113FN-04"
"宁夏青铜峡","112FN-05"
"沂水一期","113FN-06"
"连州双喜","113FN-05"
"五莲一期补","111FN-06补"
"南山二期","113FN-01"
"察右中旗四期","112FN-04-02"
"荆门子陵铺","113FN-02"
"江西笔架山","112FN-06"
"龙海黄坑","112FN-12"
"察右中旗三期","112FN-04-01"
"杨村一期","113FN-07"
"烟台高","113FN-08"
"灵川","113FN-09"
"大熊山","113FN-10"
"湘电新能源1","112FN-10"
"湘电新能源2","112FN-11"
"隆回宝莲","113FN-11"
"四子王旗","112FN-16"
"岚桥","112FN-17"
"广宜","112FN-18"
"孟家梁","112FN-09"
"江华大路铺","112FN-19"
"官山","112FN-20"
"宜城板桥","114FN-10"
"沂水聚禄","114FN-11"
"连州顺水","114FN-13"
"师宗程子山","114FN-23"
"顺化一期","114FN-24"
"海南临高","114FN-06"
"顺化二期","114FN-25"
"河口","114FN-03"
"王狮","114FN-04"
"黎平竹山","114FN-02"
"北票山湾","114FN-07"
"屏山","113FN-17"
"来安","113FN-23"
"徐闻黄塘","114FN-12"
"伊和乌素","114FN-14"
"剑河老山界","114FN-15"
"黎平大稼","114FN-16"
"枣阳白鹤","114FN-17"
"杨村二期","114FN-18"
"法国","113FN-HW-02"
"九江桃源","114FN-19"
"钓鱼台","114FN-22"
"景泰寺滩","114FN-20"
"天湖山","114FN-21"
"来溪","113FN-20"
"钟厝","113FN-21"
"惠东","113FN-16"
"潮南","113FN-12"
"惠来","113FN-13"
"苏宝顶","113FN-25"
"窑坡山","114FN-01"
"望云山","114FN-05"
"龙海新村","114FN-08"
"广水花山","114FN-09"
"锦屏","113FN-24"
"垦利一期","113FN-26"
"切吉敦曲","114FN-36"
"茶卡盐湖","114FN-37"
"云南大牛","115FN-04"
"顺会","115FN-06"
"辉县南旋风","115FN-08"
"西晃山","115FN-09"
"永泰","115FN-11"
"那仁宝力格","114FN-26"
"舒家山","114FN-27"
"三清山","114FN-28"
"南阳方城","115FN-10"
"青兰一期","115FN-13"
"五台山1","115FN-15-01"
"五台山2","115FN-15-02"
"子顶山","115FN-14"
"宝鼎山","115FN-17"
"界牌","115FN-16"
"打挂山","115FN-07"
"淖毛湖","115FN-12"
"龙排山","120FN-01"
"兴化湾一期（样机）","117FN-11"
"湘潭昌山","119FN-28"
"浚县2（15台）","119FN-07"
"横尖会立","119FN-10"
"黑龙江绥化木兰","119FN-21"
"天顺铁岭分布式","120FN-05"
"纳米比亚Luderitz和E-bay","116FN-02"
"石家","116FN-04"
"青兰二期","116FN-05"
"寻乌项山","116FN-11"
"乌鸡岭","116FN-12"
"城步五团","117FN-01"
"仙鹅塘","115FN-24"
"大冷","116FN-08"
"燕子山","117FN-04"
"败虎堡","116FN-07"
"松木塘","117FN-05"
"台湾新能5MW样机","115FN-19"
"海阳二期","116FN-10"
"南安洋坪","116FN-16"
"桃源二期","116FN-14"
"七琴城上","116FN-01"
"朝东","116FN-03"
"大板梁","116FN-09"
"黄河岛","117FN-02"
"大滩","117FN-07"
"石碑山","117FN-08"
"3213","32141"
"cbasui","23518753"
"四方庙","117FN-10"
"浚县临河项目","118FN-05"
"褒忠山","118FN-08"
"福清5MW海上样机（补）","111FN-20"
"法国INNOVENT","118FN-01"
"蓝山白毛坪","119FN-01"
"岱山4号","119FN-02"
"浚县临河运维项目","119FN-03"
"嘉兴一号","119FN-04"
"营口","119FN-05"
"融水九元山100MW","119FN-17"
"钦南区风门岭50MW","119FN-18"
"马山苏仅60MW","119FN-19"
"良庆清岭60MW","119FN-20"
"七台河北山、长兴项目","119FN-29"
"温店","118FN-06"
"大板梁塔筒","118FN-11"
"项目模板","118FN-12"
"徐闻学田","119FN-06"
"保安一期","119FN-26"
"长安营","119FN-27"
"宝莲扩容","119FN-32"
"七墩滩","120FN-03"
"梅岗(华电永州）","120FN-04"
"白芒营","118FN-07"
"大山坪","119FN-08"
"梅岗","119FN-09"
"武川","119FN-12"
"龙街","119FN-13"
"浏阳五鱼尖","119FN-30"
"岳麓鸡心山","119FN-31"
"中核睢宁85MW","119FN-15"
"锦屏（样机）131","118FN-02"
"宝鼎山二、三期","117FN-09"
"锦屏（样机）146","118FN-03"
"张北（样机）131","118FN-04"
"上满定","118FN-09"
"应城有名店","119FN-14"
"黑龙江绥化分散式","119FN-16"
"商城迎山庙","119FN-24"
"白毛坪2（15台）","119FN-11"
"中核睢宁梁集镇35MW","119FN-25"
"象州百丈二期","118FN-10"
"木垒四期标段一","119FN-22"
"木垒四期标段二","119FN-23"
"白毛坪增补2台","120FN-02"
